domain,level,english,chinese,from_choe,nChar,Kup_AoA,Kup_SD,Kup_found,Xu_AoA,Xu_found,n_utt_Mandarin,quantifier_p,whNP_p,anchor_p,another_p,labelling_p,definite_p,crit_index,freq_Mandarin,log_freq_Mandarin,log_freq_English,is_compound_cn
toy,Superordinate,toy,玩具,True,2,3.0,1.15,True,7.5,True,1070.0,0.0383177570093457,0.1355140186915887,0.0037383177570093,0.0373831775700934,0.0588785046728971,0.0981308411214953,0.053738317757009275,1070.0,3.029789470831856,1.2514712162231583,1
animal,Superordinate,animal,动物,True,2,2.89,1.41,True,6.294117647058823,True,507.0,0.1065088757396449,0.3313609467455621,0.0236686390532544,0.0315581854043392,0.0729783037475345,0.039447731755424,0.12327416173570015,507.0,2.7058637122839193,1.667361377880252,1
tool,Superordinate,tool,工具,True,2,5.37,2.03,True,7.578947368421052,True,89.0,0.0337078651685393,0.2921348314606741,0.0,0.0,0.0786516853932584,0.0561797752808988,0.08146067415730335,89.0,1.954242509439325,1.0698566462913754,1
building,Superordinate,building,建筑,True,2,6.16,2.48,True,12.391304347826088,True,5.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,5.0,0.7781512503836436,2.002462522967817,1
fruit,Superordinate,fruit,水果,True,2,3.63,1.71,True,5.473684210526316,True,143.0,0.0629370629370629,0.2237762237762237,0.0209790209790209,0.0209790209790209,0.0489510489510489,0.0349650349650349,0.08216783216783209,143.0,2.1583624920952498,1.356513259865659,1
vegetable,Superordinate,vegetable,蔬菜,True,2,4.17,2.15,True,5.363636363636363,True,187.0,0.1176470588235294,0.1978609625668449,0.0213903743315508,0.0,0.0374331550802139,0.0855614973262032,0.08422459893048127,187.0,2.27415784926368,0.8264559299581989,1
dessert,Superordinate,dessert,甜点,True,2,5.61,3.45,True,8.863636363636363,True,14.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,14.0,1.1760912590556813,1.176658593534669,1
toy,Basic,ball,球,True,1,2.9,1.22,True,,False,923.0,0.0108342361863488,0.1050920910075839,0.0010834236186348,0.0,0.0368364030335861,0.0834236186348862,0.029252437703141874,923.0,2.9656719712201065,2.025145164252055,0
animal,Basic,cat,猫,True,1,3.68,1.52,True,,False,811.0,0.0197287299630086,0.127003699136868,0.002466091245376,0.0049321824907521,0.0443896424167694,0.032059186189889,0.03853267570900117,811.0,2.9095560292411755,1.828230114726961,0
tool,Basic,fork,叉子,True,2,3.63,1.86,True,,False,70.0,0.0,0.1571428571428571,0.0,0.0,0.0571428571428571,0.0857142857142857,0.03928571428571428,70.0,1.8512583487190752,0.9922675497693095,1
building,Basic,hospital,医院,True,2,5.55,1.76,True,8.857142857142858,True,303.0,0.0231023102310231,0.0561056105610561,0.0033003300330033,0.0,0.0231023102310231,0.0264026402640264,0.020627062706270623,303.0,2.482873583608754,2.097590725501499,1
