domain,level,english,chinese,from_choe,nChar,Kup_AoA,Kup_SD,Kup_found,Xu_AoA,Xu_found,quantifier_p_x,whNP_p_x,anchor_p_x,another_p_x,labelling_p_x,definite_p_x,freq_Mandarin,log_freq_Mandarin,log_freq_English,is_compound_cn,crit_index,n_utt_Mandarin,quantifier_p_y,whNP_p_y,anchor_p_y,another_p_y,labelling_p_y,definite_p_y,log_freq_cn,is_super
toy,Superordinate,toy,玩具,True,2,3.0,1.15,True,7.5,True,0.0383177570093457,0.1355140186915887,0.0037383177570093,0.0373831775700934,0.0588785046728971,0.0981308411214953,1070.0,3.029789470831856,1.2514712162231585,1,0.0537383177570093,1070.0,0.0383177570093457,0.1355140186915887,0.0037383177570093,0.0373831775700934,0.0588785046728971,0.0981308411214953,3.029789470831856,1
animal,Superordinate,animal,动物,True,2,2.89,1.41,True,6.294117647058823,True,0.1065088757396449,0.3313609467455621,0.0236686390532544,0.0315581854043392,0.0729783037475345,0.039447731755424,507.0,2.7058637122839198,1.667361377880252,1,0.1232741617357002,507.0,0.1065088757396449,0.3313609467455621,0.0236686390532544,0.0315581854043392,0.0729783037475345,0.039447731755424,2.7058637122839193,1
tool,Superordinate,tool,工具,True,2,5.37,2.03,True,7.578947368421052,True,0.0337078651685393,0.2921348314606741,0.0,0.0,0.0786516853932584,0.0561797752808988,89.0,1.954242509439325,1.0698566462913754,1,0.0814606741573033,89.0,0.0337078651685393,0.2921348314606741,0.0,0.0,0.0786516853932584,0.0561797752808988,1.954242509439325,1
building,Superordinate,building,建筑,True,2,6.16,2.48,True,12.391304347826088,True,0.0,0.0,0.0,0.0,0.2,0.0,5.0,0.7781512503836436,2.002462522967817,1,0.0,5.0,0.0,0.0,0.0,0.0,0.2,0.0,0.7781512503836436,1
fruit,Superordinate,fruit,水果,True,2,3.63,1.71,True,5.473684210526316,True,0.0629370629370629,0.2237762237762237,0.0209790209790209,0.0209790209790209,0.0489510489510489,0.0349650349650349,143.0,2.1583624920952498,1.356513259865659,1,0.0821678321678321,143.0,0.0629370629370629,0.2237762237762237,0.0209790209790209,0.0209790209790209,0.0489510489510489,0.0349650349650349,2.1583624920952498,1
vegetable,Superordinate,vegetable,蔬菜,True,2,4.17,2.15,True,5.363636363636363,True,0.1176470588235294,0.1978609625668449,0.0213903743315508,0.0,0.0374331550802139,0.0855614973262032,187.0,2.27415784926368,0.8264559299581989,1,0.0842245989304812,187.0,0.1176470588235294,0.1978609625668449,0.0213903743315508,0.0,0.0374331550802139,0.0855614973262032,2.27415784926368,1
dessert,Superordinate,dessert,甜点,True,2,5.61,3.45,True,8.863636363636363,True,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,14.0,1.1760912590556811,1.176658593534669,1,0.0,14.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,1.1760912590556813,1
toy,Basic,ball,球,True,1,2.9,1.22,True,,False,0.0108342361863488,0.1050920910075839,0.0010834236186348,0.0,0.0368364030335861,0.0834236186348862,923.0,2.9656719712201065,2.025145164252055,0,,,,,,,,,0.0,0
animal,Basic,cat,猫,True,1,3.68,1.52,True,,False,0.0197287299630086,0.127003699136868,0.002466091245376,0.0049321824907521,0.0443896424167694,0.032059186189889,811.0,2.9095560292411755,1.828230114726961,0,,,,,,,,,0.0,0
tool,Basic,fork,叉子,True,2,3.63,1.86,True,,False,0.0,0.1571428571428571,0.0,0.0,0.0571428571428571,0.0857142857142857,70.0,1.8512583487190752,0.9922675497693096,1,,,,,,,,,0.0,0
building,Basic,hospital,医院,True,2,5.55,1.76,True,8.857142857142858,True,0.0231023102310231,0.0561056105610561,0.0033003300330033,0.0,0.0231023102310231,0.0264026402640264,303.0,2.482873583608754,2.097590725501499,1,0.0206270627062706,303.0,0.0231023102310231,0.0561056105610561,0.0033003300330033,0.0,0.0231023102310231,0.0264026402640264,2.482873583608754,0
fruit,Basic,strawberry,草莓,True,2,4.21,1.44,True,6.0625,True,0.018018018018018,0.1531531531531531,0.0,0.0,0.045045045045045,0.036036036036036,111.0,2.049218022670181,0.8148740574083834,1,0.0427927927927927,111.0,0.018018018018018,0.1531531531531531,0.0,0.0,0.045045045045045,0.036036036036036,2.0492180226701815,0
vegetable,Basic,pepper,辣椒,True,2,5.47,2.01,True,6.052631578947368,True,0.0,0.0508474576271186,0.0,0.0,0.0508474576271186,0.0338983050847457,59.0,1.7781512503836436,0.9913998282380824,1,0.0127118644067796,59.0,0.0,0.0508474576271186,0.0,0.0,0.0508474576271186,0.0338983050847457,1.7781512503836436,0
dessert,Basic,waffle,华夫饼,True,3,5.32,2.44,True,,False,,,,,,,,0.0,0.4938269482225151,1,,,,,,,,,0.0,0
toy,Basic,doll,娃娃,True,2,3.68,1.34,True,7.666666666666667,True,0.006787330316742,0.0972850678733031,0.0,0.004524886877828,0.0384615384615384,0.1018099547511312,442.0,2.646403726223069,1.411025189125825,1,0.0271493212669683,442.0,0.006787330316742,0.0972850678733031,0.0,0.004524886877828,0.0384615384615384,0.1018099547511312,2.6464037262230695,0
animal,Basic,bear,熊,True,1,3.58,1.68,True,,False,0.0225806451612903,0.1338709677419355,0.0,0.0024193548387096,0.0419354838709677,0.0153225806451612,1240.0,3.09377178149873,1.7665003271171076,0,,,,,,,,,0.0,0
tool,Basic,hammer,锤子,True,2,5.42,2.09,True,9.444444444444445,True,,,,,,,,0.0,1.1293865609616136,1,0.0416666666666666,6.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.1666666666666666,0.8450980400142568,0
building,Basic,barn,谷仓,True,2,4.5,1.62,True,11.3,True,,,,,,,,0.0,1.164002759447941,1,,,,,,,,,0.0,0
fruit,Basic,kiwi,猕猴桃,True,3,7.56,3.99,True,,False,,,,,,,,0.0,0.2514712162231572,1,,,,,,,,,0.0,0
vegetable,Basic,carrot,胡萝卜,True,3,2.74,1.28,True,,False,0.011049723756906,0.0994475138121546,0.005524861878453,0.0,0.0441988950276243,0.0552486187845303,181.0,2.2600713879850747,0.6833649310054432,1,,,,,,,,,0.0,0
dessert,Basic,pancake,薄饼,True,2,4.26,1.41,True,10.0,True,,,,,,,,0.0,0.6955503450778816,1,,0.0,,,,,,,0.0,0
