domain,level,chinese,AoA,n_char,n_utt_Mandarin,quantifier_p,whNP_p,anchor_p,another_p,labelling_p,definite_p,crit_index,crit_index_p
toy,Superordinate,玩具,7.5,2,1070,0.038317757009345796,0.13551401869158877,0.003738317757009346,0.037383177570093455,0.058878504672897194,0.09813084112149532,0.05373831775700934,
toy,Basic,娃娃,7.666666666666667,2,442,0.006787330316742082,0.09728506787330317,0.0,0.004524886877828055,0.038461538461538464,0.10180995475113122,0.027149321266968326,
toy,Basic,玩偶,8.904761904761905,2,6,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.041666666666666664,
toy,Basic,风筝,7.428571428571429,2,38,0.0,0.10526315789473684,0.0,0.0,0.07894736842105263,0.02631578947368421,0.02631578947368421,
toy,Basic,积木,7.954545454545454,2,481,0.031185031185031187,0.05405405405405406,0.008316008316008316,0.008316008316008316,0.02702702702702703,0.09771309771309772,0.02546777546777547,
toy,Basic,陀螺,8.652173913043478,2,16,0.0,0.0625,0.0,0.0,0.0,0.0625,0.015625,
toy,Basic,气球,5.31578947,2,148,0.0,0.08108108108108109,0.0,0.0,0.07432432432432433,0.033783783783783786,0.02027027027027027,
toy,Basic,洋娃娃,7.666666666666667,3,28,0.0,0.07142857142857142,0.0,0.0,0.03571428571428571,0.10714285714285714,0.017857142857142856,
animal,Superordinate,动物,6.294117647058823,2,507,0.10650887573964497,0.33136094674556216,0.023668639053254437,0.03155818540433925,0.07297830374753451,0.03944773175542406,0.1232741617357002,
tool,Superordinate,工具,7.578947368421052,2,89,0.033707865168539325,0.29213483146067415,0.0,0.0,0.07865168539325842,0.056179775280898875,0.08146067415730338,
tool,Basic,锤子,9.444444444444445,2,6,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.041666666666666664,
tool,Basic,剪刀,6.333333333333333,2,308,0.003246753246753247,0.12337662337662338,0.003246753246753247,0.006493506493506494,0.04220779220779221,0.05519480519480519,0.03409090909090909,
tool,Basic,斧头,7.954545454545454,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
building,Superordinate,建筑,12.391304347826088,2,5,0.0,0.0,0.0,0.0,0.2,0.0,0.0,
building,Basic,医院,8.857142857142858,2,303,0.0231023102310231,0.056105610561056105,0.0033003300330033004,0.0,0.0231023102310231,0.026402640264026403,0.020627062706270627,
building,Basic,学校,7.3,2,370,0.0972972972972973,0.17297297297297298,0.008108108108108109,0.0,0.021621621621621623,0.024324324324324326,0.0695945945945946,
building,Basic,商店,8.6875,2,6,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,
building,Basic,教堂,10.0,2,7,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,
building,Basic,寺庙,8.75,2,0,,,,,,,,
building,Basic,城堡,9.058823529411764,2,515,0.003883495145631068,0.06407766990291262,0.001941747572815534,0.009708737864077669,0.013592233009708738,0.05048543689320388,0.019902912621359223,
building,Basic,宫殿,10.782608695652174,2,0,,,,,,,,
building,Basic,博物馆,9.307692307692308,3,3,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,
building,Basic,图书馆,10.407407407407408,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
building,Basic,车站,8.95,2,11,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,
building,Basic,机场,10.210526315789474,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fruit,Superordinate,水果,5.473684210526316,2,143,0.06293706293706294,0.22377622377622378,0.02097902097902098,0.02097902097902098,0.04895104895104895,0.03496503496503497,0.08216783216783217,
fruit,Basic,苹果,6.0,2,234,0.03418803418803419,0.05128205128205128,0.0,0.004273504273504274,0.06837606837606838,0.0641025641025641,0.022435897435897436,
fruit,Basic,香蕉,6.782608695652174,2,126,0.0,0.07936507936507936,0.0,0.0,0.03968253968253968,0.03968253968253968,0.01984126984126984,
fruit,Basic,橘子,8.7,2,60,0.016666666666666666,0.016666666666666666,0.0,0.0,0.03333333333333333,0.05,0.008333333333333333,
fruit,Basic,草莓,6.0625,2,111,0.018018018018018018,0.15315315315315314,0.0,0.0,0.04504504504504504,0.036036036036036036,0.04279279279279279,
fruit,Basic,葡萄,6.739130434782608,2,65,0.0,0.03076923076923077,0.015384615384615385,0.0,0.07692307692307693,0.03076923076923077,0.011538461538461539,
fruit,Basic,西瓜,5.57894737,2,93,0.010752688172043012,0.06451612903225806,0.0,0.0,0.03225806451612903,0.043010752688172046,0.01881720430107527,
fruit,Basic,菠萝,6.636363636363637,2,6,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.041666666666666664,
fruit,Basic,柠檬,9.055555555555555,2,7,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,
fruit,Basic,樱桃,9.65,2,21,0.0,0.14285714285714285,0.0,0.0,0.0,0.09523809523809523,0.03571428571428571,
vegetable,Superordinate,蔬菜,5.363636363636363,2,187,0.11764705882352941,0.19786096256684493,0.0213903743315508,0.0,0.0374331550802139,0.0855614973262032,0.08422459893048129,
vegetable,Basic,白菜,7.5,2,41,0.024390243902439025,0.07317073170731707,0.0,0.0,0.07317073170731707,0.024390243902439025,0.024390243902439025,
vegetable,Basic,萝卜,5.545454545454546,2,189,0.015873015873015872,0.07936507936507936,0.005291005291005291,0.0,0.031746031746031744,0.07407407407407407,0.02513227513227513,
vegetable,Basic,黄瓜,6.7368421052631575,2,13,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,
