domain,set,level,english,chinese,nChar,in_Xu,Xu_AoA,Xu_AoA_SD,Xu_Raters,in_ZC,ZC_Volume,ZC_nStroke,ZC_nRadical,ZC_nPronunciation,ZC_nMeaning,ZC_Count_Sum,ZC_logCHR-CD,ZC_RTs_A,ZC_RTs_Y,ZC_RTs_O,ZC_ACC_A,ZC_ACC_Y,ZC_ACC_O,in_ZW,ZW_Volume,ZW_Length,ZW_nPronunciation,ZW_nMeaning,ZW_Count_Sum,ZW_logW-CD,ZW_Sum_nStroke,ZW_Sum_nMeaning,ZW_RTs_A,ZW_RTs_Y,ZW_RTs_O,ZW_ACC_A,ZW_ACC_Y,ZW_ACC_O
toy,main,Superordinate,toy,玩具,2,True,7.5,5.56512248160758,18.0,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,
toy,main,Basic,ball,球,1,False,,,,True,2.0,11.0,2.0,1.0,3.0,108.0,3.6119,583.5,642.133333333333,659.05,1.0,1.0,1.0,False,,,,,,,,,,,,,,
toy,replication,Basic,doll,娃娃,2,True,7.666666666666667,6.118278625016463,21.0,False,,,,,,,,,,,,,,True,3.0,2.0,1.0,1.0,14.0,2.6253,18.0,6.0,574.3333333333334,628.1875,577.75,1.0,1.0,1.0
animal,main,Superordinate,animal,动物,2,True,6.294117647058823,5.463111589130696,17.0,False,,,,,,,,,,,,,,True,4.0,2.0,1.0,1.0,33.0,3.0931,14.0,9.0,585.7666666666667,666.769230769231,640.4,1.0,0.933333333333333,1.0
animal,main,Basic,cat,猫,1,False,,,,True,1.0,11.0,3.0,1.0,1.0,42.0,3.1414,591.5666666666667,709.307692307692,691.75,1.0,1.0,1.0,False,,,,,,,,,,,,,,
animal,replication,Basic,bear,熊,1,False,,,,True,2.0,14.0,5.0,1.0,3.0,33.0,2.8739,560.1333333333333,716.461538461539,598.8,1.0,1.0,1.0,False,,,,,,,,,,,,,,
tool,main,Superordinate,tool,工具,2,True,7.578947368421052,2.834623029487032,19.0,False,,,,,,,,,,,,,,True,4.0,2.0,1.0,2.0,6.0,2.8768,11.0,11.0,592.4,656.4,601.9,1.0,1.0,1.0
tool,main,Basic,fork,叉子,2,False,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,
tool,replication,Basic,hammer,锤子,2,True,9.444444444444445,4.449142815742352,27.0,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,
building,main,Superordinate,building,建筑,2,True,12.391304347826088,5.202614119448925,23.0,False,,,,,,,,,,,,,,True,9.0,2.0,1.0,2.0,18.0,2.7993,20.0,5.0,598.4,818.363636363636,693.0,1.0,0.923076923076923,1.0
building,main,Basic,hospital,医院,2,True,8.857142857142858,4.396427120807467,21.0,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,
building,replication,Basic,barn,谷仓,2,True,11.3,5.3714645655488935,20.0,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,
fruit,main,Superordinate,fruit,水果,2,True,5.473684210526316,3.2552252192544486,19.0,False,,,,,,,,,,,,,,True,3.0,2.0,1.0,1.0,7.0,2.5944,12.0,10.0,552.6896551724138,660.466666666667,606.777777777778,1.0,1.0,1.0
fruit,main,Basic,strawberry,草莓,2,True,6.0625,2.61963738,16.0,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,
fruit,replication,Basic,kiwi,猕猴桃,3,False,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,
vegetable,main,Superordinate,vegetable,蔬菜,2,True,5.363636363636363,3.374208260508143,22.0,False,,,,,,,,,,,,,,True,8.0,2.0,1.0,1.0,6.0,2.3802,26.0,3.0,640.7037037037037,736.0,679.894736842105,1.0,1.0,1.0
vegetable,main,Basic,pepper,辣椒,2,True,6.052631578947368,3.0997075885481395,19.0,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,
vegetable,replication,Basic,carrot,胡萝卜,3,False,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,
dessert,main,Superordinate,dessert,甜点,2,True,8.863636363636363,5.574563442616612,22.0,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,
dessert,main,Basic,waffle,华夫饼,3,False,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,
dessert,replication,Basic,pancake,薄饼,2,True,10.0,4.947341758580104,22.0,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,
