domain,level,chinese,gloss,from_choe,n_total,BJCMC,ChangPlay,Erbaugh,NSCtoys,TCCM,Tong,Zhou1,Zhou2,Zhou3,ZhouAssessment,ZhouDinner
toy,Superordinate,玩具,toy,True,1070,93,54,69,327,123,53,61,117,54,108,11
animal,Superordinate,动物,animal,True,507,87,53,15,115,51,55,7,23,7,85,9
tool,Superordinate,工具,tool,True,89,12,0,1,25,4,7,0,4,4,32,0
building,Superordinate,建筑,building,True,5,1,0,0,3,0,0,0,0,1,0,0
fruit,Superordinate,水果,fruit,True,143,8,0,14,16,38,13,1,2,10,31,10
vegetable,Superordinate,蔬菜,vegetable,True,187,0,1,0,10,0,0,0,0,1,114,61
dessert,Superordinate,甜点,dessert,True,14,0,0,0,0,0,0,0,0,0,13,1
toy,Basic,球,ball (Choe main),True,923,52,5,41,57,92,58,187,346,83,1,1
toy,Basic,娃娃,doll (Choe repl),True,442,9,45,112,44,90,5,13,32,62,23,7
toy,Basic,积木,building blocks,False,481,11,55,31,185,27,47,24,90,10,0,1
animal,Basic,猫,cat (Choe main),True,811,39,0,60,70,28,96,33,12,38,434,1
animal,Basic,熊,bear (Choe repl),True,1240,16,3,33,119,44,80,110,32,57,744,2
animal,Basic,狗,dog,False,631,67,12,95,247,104,37,13,10,43,1,2
animal,Basic,鱼,fish,False,824,23,4,49,88,266,84,12,74,28,72,124
animal,Basic,兔子,rabbit,False,415,38,1,4,8,32,77,15,31,61,147,1
tool,Basic,叉子,fork (Choe main),True,70,0,7,1,22,15,0,1,1,0,18,5
tool,Basic,筷子,chopsticks,False,172,4,20,11,4,4,5,3,0,7,2,112
tool,Basic,勺子,spoon,False,114,1,0,1,0,0,43,2,4,1,40,22
building,Basic,医院,hospital (Choe main),True,303,3,2,18,33,11,10,0,220,4,2,0
building,Basic,房子,house,False,1263,38,22,122,375,66,71,28,105,33,400,3
building,Basic,学校,school,False,370,53,28,53,63,86,15,0,3,3,1,65
fruit,Basic,草莓,strawberry (Choe main),True,111,9,8,5,11,34,7,0,1,3,29,4
fruit,Basic,苹果,apple,False,234,14,0,47,20,41,14,10,43,37,2,6
fruit,Basic,西瓜,watermelon,False,93,3,1,9,2,12,19,7,6,25,6,3
vegetable,Basic,辣椒,pepper (Choe main),True,59,2,7,5,0,2,16,0,4,0,13,10
vegetable,Basic,胡萝卜,carrot (Choe repl),True,181,10,9,3,11,1,7,0,7,4,119,10
vegetable,Basic,西红柿,tomato,False,30,0,0,0,0,0,0,0,0,1,16,13
vegetable,Basic,白菜,cabbage,False,41,0,0,0,0,0,11,2,0,0,24,4
dessert,Basic,蛋糕,cake,False,283,23,0,23,37,62,11,4,10,22,83,8
dessert,Basic,饼干,biscuit,False,129,0,4,33,7,56,1,8,7,8,3,2
